date,nse,prediction,dji,ftse,nikkei,SandP,ssec
20111102,-0.783575348,1,-2.484730801,-2.212213801,-1.30835101,-2.794224737,-1.301565917
20111103,-0.321387481,1,1.527540673,1.153355947,0,1.610466767,0.268923355
20111104,1.1327921,0,1.760974864,1.122153134,1.398654349,1.878180754,0.683939069
20111108,0.152340941,0,0.710570917,-0.295631029,-0.259259257,0.62957439,0.177701914
20111109,0.384735364,0,0.843443433,1.025618692,0.79821807,1.1735639,0.349502772
20111111,-1.174093334,1,0.958496655,-0.284961852,0.530774963,0.862417639,0.178305223
20111114,0.938313164,0,2.184482854,1.84689301,1.371906293,1.948054042,0.708889143
20111115,-0.333116435,0,-0.614622254,-0.474989992,-0.659134555,-0.955014221,-0.109388127
20111116,-0.185459209,0,0.142227981,-0.028990549,0.056431183,0.481716425,-0.027195771
20111117,-0.06659444,0,-1.575461283,-0.152607006,-0.487764289,-1.661620119,0.030203907
20111118,-0.721414459,1,-1.13273993,-1.558897953,-1.243801067,-1.679995184,-0.595154764
20111121,-0.652289127,0,0.216041732,-1.110058011,-0.308783623,-0.039467902,0.00703156
20111122,0.345307481,1,-2.109589787,-2.616848221,-1.011097913,-1.86484955,-0.585724027
20111123,-0.682618679,0,-0.464089403,-0.302148355,0,-0.414084149,0.106606746
20111124,0.023372181,1,0,-1.287542108,-1.507206581,0,-0.664615611
20111125,-0.52875569,0,-2.054773612,-0.237558806,-0.33055284,-2.209521492,-0.176306814
20111128,1.257948429,1,-0.230062673,0.723149562,1.346816893,-0.268550676,0.154142838
20111129,0.265908107,0,2.594092318,2.867764515,1.007778346,2.924042541,0.669732804
20111130,-0.810597074,1,0.283086717,0.456260023,-0.827930145,0.221365301,-0.251367163
20111201,2.872486833,0,4.240788387,3.155705453,1.737956312,4.331530765,2.531528585
20111202,0.081023325,1,-0.212934601,-0.292075809,0.068050802,-0.190864589,-0.501126185
20111205,-0.270289001,1,-0.005077774,1.1467681,0.62507908,-0.024098653,0.103658163
20111207,0.217298552,1,0.432307279,0.013649523,0.630078891,0.110574908,-0.014747679
20111208,-0.497767945,0,0.380574039,-0.391651942,-0.662912022,0.201835487,-0.120891317
20111209,-1.474618956,0,-1.628926624,-1.138291409,-1.65328266,-2.114180997,-0.614087294
20111212,0.824994349,0,1.554961092,0.828627021,1.364974574,1.688335189,-0.134762597
20111213,-0.650631742,1,-1.336725604,-1.832992417,-1.367035341,-1.491405355,-0.363162071
20111214,-0.247885681,0,-0.552758225,1.147597764,-0.456458649,-0.868601038,-0.320339623
20111215,-1.05915079,1,-1.099628733,-2.246751,-0.822620138,-1.134836728,-0.571360454
20111216,0.129573251,0,0.383382035,0.634456287,0.463628125,0.32431006,-0.063551294
20111219,-0.611617508,0,-0.020388902,-0.25014581,-0.456217063,0.32161497,-0.753719024
20111220,0.492076911,0,-0.843810822,-0.414861509,0.264101239,-1.173282521,-0.384816378
20111221,2.030060297,1,2.866843981,1.017895653,1.274635806,2.982542309,0.643070875
20111222,-1.198555341,1,0.034371235,-0.550963171,-0.359816788,0.194950609,-0.57394244
20111223,0.620002746,0,0.511327125,1.247370003,0,0.826554951,-0.109089031
20111226,0.088035639,1,0,0,1.301938295,0,-0.504584591
20111227,0.025109856,0,1.021801005,0,-0.42856926,0.903505263,-0.155294612
20111228,0.11998737,0,-0.021558402,1.021262715,-0.171430885,0.007910822,-0.394938415
20111229,-0.523821667,0,-1.138519808,-0.096141637,-0.663730738,-1.24780022,-0.406857344
20111230,0.294861447,0,1.116165764,1.07800414,0.428755996,1.070708751,0.182008001
20120102,0.343835824,0,0,0,0,0,0
20120103,0.84218472,1,-0.565477688,0.098980199,0,-0.429133657,0
20120104,0.202505613,0,1.471818565,2.290444845,1.113974399,1.547398487,0.571884506
20120105,-0.013685219,1,0.169713602,-0.551938539,-0.519271296,0.018792382,-0.391488871
20120106,-0.543163612,1,-0.021900693,-0.779578192,0.00318668,0.29437171,-0.014193057
20120107,0.031551713,0,0,0,0,0,0
20120109,0.013693147,0,-0.449272124,0.45197057,0,-0.253696146,0.062214574
20120110,0.61250738,1,0.265135294,-0.662338398,0.389025804,0.226159747,-0.182302908
20120111,0.280438391,0,0.563068209,1.504563224,0.222032988,0.888576984,-0.123846333
20120112,-0.411442208,0,-0.104469903,-0.454298102,-0.293331278,0.030959694,-0.321034124
20120113,0.635446313,1,0.173255282,-0.148126726,1.019722722,0.233660873,0.0909916
20120116,-0.452116728,1,0,-0.45528237,-1.061520996,0,-0.63027259
20120117,0.627833973,1,-0.392589875,0.369014164,0.498424074,-0.494792281,0.015315568
20120118,0.210375858,0,0.48309815,0.645344891,-0.095794572,0.35529545,0.01992747
20120119,0.790992373,1,0.776152414,0.147876255,0.539140147,1.1107929,-0.013594563
20120120,0.527060418,1,0.357981145,0.680068112,1.290557104,0.493865693,0.192722324
20120123,-0.46052371,1,0.764418166,-0.219468225,-0.142022407,0.066945987,0
20120124,0.367599703,1,-0.091664462,0.942821482,0.564231383,0.047134288,0
20120125,0.47100354,1,-0.260215419,-0.530214991,0.645162874,-0.102581763,0
20120127,1.133125254,0,-0.18982691,1.261576096,0.017512959,-0.575389097,0
20120130,-0.790631545,0,-0.582426978,-1.065536996,-0.423354347,-0.159287783,0.231769155
20120131,0.745975272,1,-0.053238429,-1.087652286,-0.132028992,-0.252212296,0.040087559
20120201,-0.021156898,1,-0.164454172,0.185502258,-0.152799558,-0.045694701,-0.198210284
20120202,0.695226999,0,0.661366217,1.920406364,0.629870108,0.889960584,0.254401071
20120203,0.117649291,1,-0.08689368,0.092389202,-0.311489813,0.109514688,-0.255124729
20120206,1.006412122,0,1.234279791,1.811572324,1.223521357,1.460535663,0.164907729
20120207,0.956795016,0,-0.132951979,-0.150311723,-0.280428688,-0.042387389,-0.50254846
20120208,0.162132274,1,0.25745415,-0.032924884,0.609590501,0.202338197,-0.003930709
20120209,-0.467572627,1,0.044649096,-0.243282979,-0.215847896,0.216021075,-0.14082495
20120210,-0.231877096,0,0.050526119,0.332543104,0.092088622,0.147411039,-0.322529797
20120213,0.009290917,1,-0.692213391,-0.730730544,0.076676212,-0.688630226,-0.8472018
20120214,-0.174390561,1,0.568770089,0.910909902,-0.227353622,0.68000394,-0.126583155
20120215,0.822555183,1,0.032936281,-0.098718188,0.627144167,-0.093952372,-0.184065651
20120216,-0.328997912,1,-0.755769155,-0.130680846,-0.301932342,-0.538320622,-0.118516447
20120217,0.946223707,0,0.963385962,-0.115068158,1.439912034,1.102570611,0.41452507
20120221,-0.04313211,1,0.354849317,0.680432239,-0.278438649,0.234893001,0.079968669
20120222,0.046369368,0,0.122165781,-0.286783567,-0.034653812,0.071992317,-0.038926277
20120223,-0.277911486,0,-0.208400086,-0.196518336,-0.044279558,-0.334010698,-0.076921579
20120224,-0.075684351,0,0.355681923,0.360683168,-0.007510799,0.427200246,0.055078617
20120227,0.346269316,0,-0.013402168,-0.046481157,0.817012629,0.167223759,0.318862398
20120228,0.554798152,1,-0.011094782,-0.329900103,-0.693482028,0.135455944,-0.251028983
20120229,0.919914427,0,0.181876765,0.208940842,0.505019155,0.335633349,-0.229577302
20120301,-0.356532719,0,-0.407914802,-0.951431449,0.494687047,-0.473698767,-0.399383433
20120302,0.556205815,0,0.217953573,1.017455476,0.923830934,0.615803971,0.164128
20120303,0.013061285,0,0,0,0,0,0
20120305,-0.314400866,0,-0.02102802,-0.339220232,-0.205070491,-0.324575618,0.168895746
20120306,-0.271762288,0,-0.113740397,-0.614264954,0.062076117,-0.386969399,-0.213615371
20120307,-0.293926164,1,-1.571103694,-1.85571643,-1.333629487,-1.537016094,-0.798324104
20120309,1.41079792,1,0.550039218,1.179678179,1.45471322,0.98179317,0.231755853
20120312,1.622746576,0,0.109073171,0.473741964,0.867894668,0.363125014,-0.03754992
20120313,0.587735911,1,0.291676002,0.089341978,0.317392227,0.016046088,-0.082751934
20120314,1.124412929,0,1.681902841,1.071825548,1.667226052,1.813154907,0.37141121
20120315,-0.025622724,0,0.12460403,-0.175959677,0.645547325,-0.119626209,-0.132441966
20120316,-0.002787845,0,0.444593885,-0.079220511,-0.125551794,0.596719943,0.167798372
20120319,0.365745877,0,-0.151965706,0.418467795,0.207501309,0.111939828,-0.146338013
20120320,0.001902208,1,0.049194792,-0.074929848,0,0.397384635,-0.109621917
20120321,-0.145027821,1,-0.520724932,-1.169245325,-0.405444189,-0.300051782,0.331106677
20120322,-0.071762085,0,-0.346011018,0.009165887,-0.310614191,-0.187119711,-0.050630876
20120323,0.520230661,1,-0.597963745,-0.785817938,-1.108018887,-0.720654213,-0.281806044
20120326,-0.072941533,0,0.265142187,0.158066254,0.285970799,0.310885848,-0.019285698
20120327,1.132275643,1,1.23004912,0.816582378,1.34414984,1.388582517,0.338033012
20120328,-0.218380172,0,-0.331525729,-0.5616074,-0.991117791,-0.281677501,-0.263125442
20120329,-0.939409981,1,-0.541915219,-1.031765638,-0.469331795,-0.494150943,-0.356303616
20120330,0.535833245,1,0.149398418,-1.15269608,-0.253988762,-0.160793,0.172371419
20120402,0.015107024,1,0.503732201,0.460116022,0.775124691,0.369843644,0
20120403,0.663795859,1,0.396987822,1.845209718,-0.273595602,0.750464562,0
20120404,-0.557058878,0,-0.489580971,-0.622139308,-0.044871594,-0.398863587,0
20120409,-0.758984764,0,-0.111744775,0,-1.271004366,-0.062904231,-0.281848274
20120410,0.376356411,0,-0.999605008,0.348892049,0.388640021,-1.135843836,-0.207945648
20120411,-0.65127012,1,-1.652489775,-2.238423948,-1.461728208,-1.708145409,-0.830360377
